Instance,bitwise_Time,bitwise_Solutions,bitwise_Decisions,pairwise_Time,pairwise_Solutions,pairwise_Decisions,ladder_Time,ladder_Solutions,ladder_Decisions,matrix_Time,matrix_Solutions,matrix_Decisions
grafo11458.100,76.803,394226681183055273406797456512235050689027416231637905284387417074465966025754965046224206125535106242560,-,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo3532.99,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo7797.100,39.196,743512892248581148873007929360043807584222787255355078617605042728215298215815749421676954423634176955695826000,-,TO,TO,TO,395.596,743512892248581148873007929360043807584222787255355078617605042728215298215815749421676954423634176955695826000,-,TO,TO,TO
grafo7907.80,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo8127.78,3.810,1206656064780333283350008096550461368523657087186095375198961778533306026234699876520727148416,-,245.070,1206656064780333283350008096550461368523657087186095375198961778533306026234699876520727148416,-,14.878,1206656064780333283350008096550461368523657087186095375198961778533306026234699876520727148416,-,241.302,1206656064780333283350008096550461368523657087186095375198961778533306026234699876520727148416,-
grafo8510.100,268.186,24882758585662129120096101197731625564561758828226418505691828855697513440218331111096983455791637671879168644782479707571931316224,-,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo8805.80,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo8812.99,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo8826.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo8882.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo8892.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo8921.98,491.937,3613644170304124635237566772262894841079760817251373967936457623069415679320916824454066308447574201498511621508292406829824,-,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo9691.79,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo9738.100,163.714,556788794044961729404700471276667934897256194109894046445887890016818535594970910809789644352932878022498462223093454286707224084759238495600640,-,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo9788.80,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
heart,1449.089,6164,-,1142.326,6164,-,TO,TO,TO,1195.144,6164,-
kts15-ptpt-0020,0.310,8,-,0.311,8,-,0.754,8,-,0.310,8,-
kts15-ptpt-0021,0.470,72,-,0.663,72,-,1.265,72,-,0.660,72,-
latin7-blk-00008,0.465,27072,-,0.293,27072,-,0.517,27072,-,0.576,27072,-
latin7-blk-00009,0.528,27776,-,0.323,27776,-,0.525,27776,-,0.678,27776,-
meteor,1278.603,9212,-,609.486,9212,-,TO,TO,TO,TO,TO,TO
sppnw07,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
sppnw08,0.781,285701,-,0.719,285701,-,1.412,285701,-,0.745,285701,-
sppnw09,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
sppnw10,5.925,318168,-,3.306,318168,-,11.172,318168,-,3.126,318168,-
sppnw12,0.227,496333530,-,0.452,496333530,-,0.738,496333530,-,2.844,496333530,-
sppnw15,0.569,46,-,0.450,46,-,1.197,46,-,0.437,46,-
