Instance,bitwise_Time,bitwise_Solutions,bitwise_Decisions,pairwise_Time,pairwise_Solutions,pairwise_Decisions,ladder_Time,ladder_Solutions,ladder_Decisions,matrix_Time,matrix_Solutions,matrix_Decisions
doublefact-17,0.415,34459425,-,285.185,34459425,-,180.605,34459425,-,285.331,34459425,-
doublefact-19,15.528,654729075,-,TO,TO,TO,1034.905,654729075,-,TO,TO,TO
exotic_fives,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10116.100,3.104,765687449110919039481918058780350854922831102503955916950822366080983152391670975786180707241066656238295751454446463110370849767891077600,-,TO,TO,TO,13.911,765687449110919039481918058780350854922831102503955916950822366080983152391670975786180707241066656238295751454446463110370849767891077600,-,TO,TO,TO
grafo10184.100,17.749,28939437741364204985037435001634855587932164940600619679152115959889712942274720552397177332896083184230097406579570052757684387017678898648637500,-,TO,TO,TO,225.226,28939437741364204985037435001634855587932164940600619679152115959889712942274720552397177332896083184230097406579570052757684387017678898648637500,-,TO,TO,TO
grafo10204.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10237.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10259.100,15.633,67982912973672368127496720651405036557517535199739910450796991663232789697551020006252976209219092643573672711025763343070571373374469166308491264000,-,TO,TO,TO,213.073,67982912973672368127496720651405036557517535199739910450796991663232789697551020006252976209219092643573672711025763343070571373374469166308491264000,-,TO,TO,TO
grafo10292.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10305.100,4.637,10515647702635986591165231354637412157055585194540536047502477450445240980647602148147720539158738283973290282476568318000000000000,-,TO,TO,TO,18.269,10515647702635986591165231354637412157055585194540536047502477450445240980647602148147720539158738283973290282476568318000000000000,-,TO,TO,TO
grafo10418.100,565.371,811624564261399938523155771854423941513422620715189621331955309691902672814640685579066922008087049241978320623733030399489960960,-,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10446.95,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10469.100,224.585,4157598366579431982581608724787042045508705195705700343591380192711039601634037208656564170411647518824789500806867970977005899698304,-,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10492.96,74.076,604197525402489233087434577546646353931431863605052721838779844744195716660098433647665709016122664512444378657400916,-,TO,TO,TO,1126.486,604197525402489233087434577546646353931431863605052721838779844744195716660098433647665709016122664512444378657400916,-,TO,TO,TO
grafo10508.100,189.176,141781781442404423920723106499922004936739450441845267348794566476125750975537486106644961997051296992780604531074112656309148565000,-,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10534.100,520.123,2160906908438028788640564135537007805851214409877842850763148977429768225443658312052898934097662910630523065594443860516985030820744225226796319960,-,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10538.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10632.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10638.100,377.359,58798154987930748142356689023066524134972452830234548533920035264711861192018213924080768275657180327218564188627949184000,-,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10644.100,78.805,3761888793510632148976219092308991315881836514785673154090946139037848253786837614433519408920886586362471018600741886179333120693634634017039222361856,-,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10646.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10652.100,1348.646,35273779331995867402399092652579208026454727134817020615736031066882347940213083088826579919376666557693525540140685739284480,-,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10653.100,158.188,5669589842705053763596004693257264534896315808583397983312923495750230167445586911296392134569518758044240069068207508937544320,-,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10671.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10772.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10781.100,891.652,121591851365289566391692718641664607834247450610448888066715878709087095030155994679443185951832668169068499443309021790204444970774243032362000,-,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10820.100,139.636,62304041443136332894755579292092323883861809462756573021771290216866323457306768598500987648955478292695549975106699229973197960603322449920,-,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10865.100,272.525,25873206711639022199758503646324071620642074539891959724899509256815191069382960118609389369934104534963757513821416345600,-,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10928.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10958.98,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10962.100,27.408,733629969889729858273756690318648542002040978521228694077465906537723039741317960883190826279493041003495749233450400,-,TO,TO,TO,1174.230,733629969889729858273756690318648542002040978521228694077465906537723039741317960883190826279493041003495749233450400,-,TO,TO,TO
grafo10998.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo11003.100,102.256,33783559834412100539586287338288118660479847447949715031552502612484959700032691853884871361426389452517783106352174187520,-,TO,TO,TO,1414.829,33783559834412100539586287338288118660479847447949715031552502612484959700032691853884871361426389452517783106352174187520,-,TO,TO,TO
grafo11020.100,38.167,271075901978088211411891489147565733566493442220641529282070064827604272843373067023225995071483326111282355335587769354570329578648894736685056,-,TO,TO,TO,415.610,271075901978088211411891489147565733566493442220641529282070064827604272843373067023225995071483326111282355335587769354570329578648894736685056,-,TO,TO,TO
grafo11073.100,315.458,213655267226321957761359262588465770620675602413420269789612430077811254358917302444901424673222727971715996232064026522731504490960219354350026595821747200,-,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo11125.100,155.896,28257990953353526454560736362583219989518864932872473180367238716826140860286739021021867049356905140139118524642712734400,-,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo11227.100,247.743,410566782706717734092054138098430765398066138269753369918931277465785967865109021654513969795416197748132225199738977530028360757627340768890128864000,-,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo11335.100,78.015,153523062642613271606000375063110420755465135127254193221034620516491994331374070890765616150563383507449365999364601326387200,-,TO,TO,TO,1454.051,153523062642613271606000375063110420755465135127254193221034620516491994331374070890765616150563383507449365999364601326387200,-,TO,TO,TO
