Instance,matrix_Time,matrix_Solutions,matrix_Decisions
grafo11148.99,14.302,26041694824934201896252713228780,-
grafo11149.100,TO,TO,TO
grafo11157.100,74.344,2255220706960252460009775340800,-
grafo11162.100,TO,TO,TO
grafo11176.100,TO,TO,TO
grafo11178.95,MEMOUT,MEMOUT,MEMOUT
grafo11181.95,0.989,204303551180648012431583604480,-
grafo11198.98,206.652,492387302804990856535993500,-
grafo11201.99,1.511,1147720450559495792252226408000,-
grafo11204.99,TO,TO,TO
grafo11218.99,17.192,981634254919532297202912,-
grafo11223.99,1.238,2360818719012081418650711306540,-
grafo11227.100,6.498,2716288583159839941443148,-
grafo11250.99,4.306,8943747317419205357818461381583296,-
grafo11251.93,1.349,4809787111811592399184022526528,-
grafo11254.99,21.401,30139977622287267367176194,-
grafo11271.99,21.620,109664252023274371019546173840,-
grafo11280.99,3.341,83393808943885689836202,-
grafo11313.96,2.955,7003276840515664560,-
grafo11324.100,6.777,560387610526314185205659607711744,-
grafo11335.100,0.835,61471332725994635285503002432000,-
grafo11369.96,TO,TO,TO
grafo11458.100,6.893,32929161513245347400780796768,-
grafo11469.96,8.214,165728243199277045297920000,-
grafo11546.97,1.440,75444469155251576685056404800,-
grafo11569.93,9.206,4844612865840488301571200,-
grafo3224.98,TO,TO,TO
grafo3435.99,113.862,652148706592030102138027610622720,-
grafo3532.99,1.173,28327450894599629841700806720,-
grafo3680.99,4.104,2149519026657629741871667680000,-
grafo3712.95,1.232,5258623445171291339393040,-
grafo3861.99,1.967,16121448104607716575683640617648,-
grafo3890.96,5.443,8944113065325995850718418621147520,-
grafo3898.99,67.263,45437908753940371061101014897360,-
grafo3979.98,1.140,423904573438761629195520,-
grafo3995.97,4.590,5931077209549283555589214132590240,-
grafo4091.99,42.372,32508414237190114299136803240960,-
grafo6562.98,0.708,236273893424318395676761226496,-
grafo6625.99,1.242,1337161524838599745621440,-
grafo6975.39,2.732,320039444695988826981559487100000,-
grafo7221.99,0.608,1525888907338681754882536320000,-
grafo7263.99,131.088,4898247703830220765158946176,-
grafo7417.39,1.135,413427890976458123248101187541280000,-
grafo7785.100,3.392,557646274243607696621728263360,-
grafo7797.100,164.747,18087494243875214914061634240,-
grafo7907.80,2.701,56046368067982192880179200,-
grafo7936.89,TO,TO,TO
grafo8008.95,6.792,2836630049700547381881600,-
grafo8127.78,0.349,66208157321355098849280,-
grafo8198.99,0.952,649388601659380264242499152000,-
grafo8223.99,0.797,334422330310025516401710173429760,-
grafo8373.100,0.787,742658646888847672838471232000,-
grafo8478.98,5.541,12250781027964153710065548,-
grafo8490.95,426.132,6954795444905727972824869260,-
grafo8510.100,3.712,2522290965851353756626557847360,-
grafo8513.100,361.375,17469995066621824100630695740,-
grafo8549.100,TO,TO,TO
grafo8566.98,27.262,33675447534980819354777573856,-
grafo8571.94,3.248,60036648006230924769664308000,-
grafo8673.98,39.147,3665987126814610816771132800,-
grafo8674.100,6.055,4411819550965378162337392234383360,-
grafo8719.93,TO,TO,TO
grafo8739.99,32.145,3376726709558271550550300000,-
grafo8777.98,0.776,527114627133616421733651616800,-
grafo8780.96,9.404,106865700460093439124794247168,-
grafo8791.94,10.100,41589594170975930336399016,-
grafo8793.100,1.115,6290998565958574189476048,-
grafo8805.80,TO,TO,TO
grafo8812.99,TO,TO,TO
grafo8823.93,9.649,2471867976793564523950612320,-
grafo8826.100,1.503,1834705985117148849612007324569600,-
grafo8857.99,2.585,313543526986779746908720331250,-
grafo8864.98,3.269,1950049320147521882078400,-
grafo8865.100,TO,TO,TO
grafo8867.97,10.436,685433148081827754240945612000,-
grafo8882.100,3.355,60433143070321573071599902510800,-
grafo8892.100,1.711,156239009903443337640000,-
grafo8893.96,0.366,8420211467291839036389765120,-
grafo8921.98,1155.238,1389282357877552470915299541,-
grafo8943.98,102.288,1557799297139741798037095121600,-
grafo8963.92,129.995,22926250524268338334887333870000,-
grafo8997.96,MEMOUT,MEMOUT,MEMOUT
grafo9008.91,1.977,72401743992697856645701464672,-
grafo9357.99,146.416,142289637244534381196640,-
grafo9362.98,7.654,211356181498372577399700,-
grafo9542.87,MEMOUT,MEMOUT,MEMOUT
grafo9691.79,1.141,150604398614405598500000,-
grafo9738.100,33.469,174103352259187595283132912000,-
grafo9788.80,1.229,5964147984416058082800,-
grafo9973.96,13.804,2561493285098512987929575760,-
grafo9984.96,2.300,3696278631131858917807872,-
grafo9995.94,5.204,6526238612574319118772318,-
heart,TO,TO,TO
kts15-ptpt-0001,0.054,0,-
kts15-ptpt-0002,0.174,0,-
kts15-ptpt-0003,0.174,8,-
kts15-ptpt-0004,0.102,1,-
kts15-ptpt-0005,0.055,0,-
kts15-ptpt-0006,0.172,8,-
kts15-ptpt-0007,0.206,12,-
kts15-ptpt-0008,0.105,0,-
kts15-ptpt-0009,0.232,6,-
kts15-ptpt-0010,0.094,0,-
kts15-ptpt-0011,0.188,4,-
kts15-ptpt-0012,0.117,4,-
kts15-ptpt-0013,0.491,24,-
kts15-ptpt-0014,0.446,8,-
kts15-ptpt-0015,0.401,14,-
kts15-ptpt-0016,0.262,6,-
kts15-ptpt-0017,0.396,24,-
kts15-ptpt-0018,0.445,8,-
kts15-ptpt-0019,0.078,0,-
kts15-ptpt-0020,0.365,8,-
kts15-ptpt-0021,1.077,72,-
kts21-ptpt-0001,TO,TO,TO
kts21-ptpt-0002,TO,TO,TO
kts21-ptpt-0003,TO,TO,TO
kts21-ptpt-0004,TO,TO,TO
kts21-ptpt-0005,TO,TO,TO
kts21-ptpt-0006,TO,TO,TO
kts21-ptpt-0007,TO,TO,TO
kts21-ptpt-0008,TO,TO,TO
kts21-ptpt-0009,TO,TO,TO
kts21-ptpt-0010,TO,TO,TO
kts21-ptpt-0011,TO,TO,TO
kts21-ptpt-0012,TO,TO,TO
kts21-ptpt-0013,TO,TO,TO
kts21-ptpt-0014,TO,TO,TO
kts21-ptpt-0015,TO,TO,TO
kts21-ptpt-0016,TO,TO,TO
kts21-ptpt-0017,TO,TO,TO
kts21-ptpt-0018,TO,TO,TO
kts21-ptpt-0019,TO,TO,TO
kts21-ptpt-0020,TO,TO,TO
kts21-ptpt-0021,TO,TO,TO
kts21-ptpt-0022,TO,TO,TO
kts21-ptpt-0023,TO,TO,TO
kts21-ptpt-0024,TO,TO,TO
kts21-ptpt-0025,TO,TO,TO
kts21-ptpt-0026,TO,TO,TO
kts21-ptpt-0027,TO,TO,TO
kts21-ptpt-0028,TO,TO,TO
kts21-ptpt-0029,TO,TO,TO
kts21-ptpt-0030,TO,TO,TO
kts21-ptpt-0031,TO,TO,TO
kts21-ptpt-0032,TO,TO,TO
kts21-ptpt-0033,TO,TO,TO
kts21-ptpt-0034,TO,TO,TO
kts21-ptpt-0035,TO,TO,TO
kts21-ptpt-0036,TO,TO,TO
kts21-ptpt-0037,TO,TO,TO
kts21-ptpt-0038,TO,TO,TO
kts21-ptpt-0039,TO,TO,TO
kts21-ptpt-0040,TO,TO,TO
kts21-ptpt-0041,TO,TO,TO
kts21-ptpt-0042,TO,TO,TO
kts21-ptpt-0043,TO,TO,TO
kts21-ptpt-0044,TO,TO,TO
kts21-ptpt-0045,TO,TO,TO
kts21-ptpt-0046,TO,TO,TO
kts21-ptpt-0047,TO,TO,TO
kts21-ptpt-0048,TO,TO,TO
kts21-ptpt-0049,TO,TO,TO
kts21-ptpt-0050,TO,TO,TO
kts21-ptpt-0051,TO,TO,TO
kts21-ptpt-0052,TO,TO,TO
kts21-ptpt-0053,TO,TO,TO
kts21-ptpt-0054,TO,TO,TO
kts21-ptpt-0055,TO,TO,TO
kts21-ptpt-0056,TO,TO,TO
kts21-ptpt-0057,TO,TO,TO
kts21-ptpt-0058,TO,TO,TO
kts21-ptpt-0059,TO,TO,TO
kts21-ptpt-0060,TO,TO,TO
kts21-ptpt-0061,TO,TO,TO
kts21-ptpt-0062,TO,TO,TO
kts21-ptpt-0063,TO,TO,TO
kts21-ptpt-0064,TO,TO,TO
kts21-ptpt-0065,TO,TO,TO
kts21-ptpt-0066,TO,TO,TO
kts21-ptpt-0067,TO,TO,TO
kts21-ptpt-0068,TO,TO,TO
kts21-ptpt-0069,TO,TO,TO
kts21-ptpt-0070,TO,TO,TO
kts21-ptpt-0071,TO,TO,TO
kts21-ptpt-0072,TO,TO,TO
kts21-ptpt-0073,TO,TO,TO
kts21-ptpt-0074,TO,TO,TO
kts21-ptpt-0075,TO,TO,TO
kts21-ptpt-0076,TO,TO,TO
kts21-ptpt-0077,TO,TO,TO
kts21-ptpt-0078,TO,TO,TO
kts21-ptpt-0079,TO,TO,TO
kts21-ptpt-0080,TO,TO,TO
kts21-ptpt-0081,TO,TO,TO
kts21-ptpt-0082,TO,TO,TO
kts21-ptpt-0083,TO,TO,TO
kts21-ptpt-0084,TO,TO,TO
kts21-ptpt-0085,TO,TO,TO
kts21-ptpt-0086,TO,TO,TO
kts21-ptpt-0087,TO,TO,TO
kts21-ptpt-0088,TO,TO,TO
kts21-ptpt-0089,TO,TO,TO
kts21-ptpt-0090,TO,TO,TO
kts21-ptpt-0091,TO,TO,TO
kts21-ptpt-0092,TO,TO,TO
kts21-ptpt-0093,TO,TO,TO
kts21-ptpt-0094,TO,TO,TO
kts21-ptpt-0095,TO,TO,TO
kts21-ptpt-0096,TO,TO,TO
kts21-ptpt-0097,TO,TO,TO
kts21-ptpt-0098,TO,TO,TO
kts21-ptpt-0099,TO,TO,TO
kts21-ptpt-0100,TO,TO,TO
latin6-blk-00001,0.032,48,-
latin6-blk-00002,0.040,56,-
latin6-blk-00003,0.044,80,-
latin6-blk-00004,0.040,72,-
latin6-blk-00005,0.037,80,-
latin6-blk-00006,0.055,88,-
latin6-blk-00007,0.036,80,-
latin7-blk-00001,1.182,10752,-
latin7-blk-00002,1.313,14976,-
latin7-blk-00003,1.324,17280,-
latin7-blk-00004,1.667,19840,-
latin7-blk-00005,1.411,20480,-
latin7-blk-00006,1.927,29056,-
latin7-blk-00007,1.667,23616,-
