Instance,bitwise_Time,bitwise_Solutions,bitwise_Decisions,ladder_Time,ladder_Solutions,ladder_Decisions,pairwise_Time,pairwise_Solutions,pairwise_Decisions
grafo10685.98,1.299,18933970214606610605994945868800,18284,5.829,18933970214606610605994945868800,26088,1.024,18933970214606610605994945868800,12102
grafo10688.95,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10689.98,5.496,1370682840424281115042080000,6136,TO,TO,TO,2.620,1370682840424281115042080000,5385
grafo10693.98,0.424,15811121663230543469294733740160,6703,1.370,15811121663230543469294733740160,13234,0.289,15811121663230543469294733740160,5954
grafo10695.98,6.073,152426309856396886819860480,57617,34.055,152426309856396886819860480,56784,1.956,152426309856396886819860480,15259
grafo10696.99,8.193,5204295119772122743131779016000,97764,26.355,5204295119772122743131779016000,150614,3.326,5204295119772122743131779016000,43247
grafo10698.95,0.306,195624642073083526902416762880,4405,1.104,195624642073083526902416762880,8781,0.203,195624642073083526902416762880,3440
grafo10700.98,0.564,2303423420658486348064432128000,8499,2.710,2303423420658486348064432128000,23693,0.380,2303423420658486348064432128000,7731
grafo10712.98,8.011,87350475221980225179971773660000,55663,TO,TO,TO,7.449,87350475221980225179971773660000,31685
grafo10713.92,TO,TO,TO,TO,TO,TO,33.501,762510033365435299350000,155225
grafo10722.96,8.493,7181570767061926043280,9600,TO,TO,TO,7.178,7181570767061926043280,4245
grafo10726.99,3.106,1169388613595008901313330971328,26277,19.379,1169388613595008901313330971328,68954,2.151,1169388613595008901313330971328,20022
grafo10736.99,3.768,654533353008865416702686400,11438,9.500,654533353008865416702686400,28228,1.393,654533353008865416702686400,10891
grafo10737.99,7.872,948450972521583413184960,42908,TO,TO,TO,7.917,948450972521583413184960,33331
grafo10750.100,1.515,79424048531055784214151971742570,18094,12.334,79424048531055784214151971742570,52925,1.597,79424048531055784214151971742570,14636
grafo10758.96,1.480,14393936331269128652052040205472000,12452,11.060,14393936331269128652052040205472000,29834,1.331,14393936331269128652052040205472000,11532
grafo10760.96,26.951,44506808727552680251881600,213260,TO,TO,TO,29.874,44506808727552680251881600,124951
grafo10781.100,15.727,34326665474148801719856,6010,TO,TO,TO,3.943,34326665474148801719856,6171
grafo10792.98,4.147,28740760556884933575573102213120,28474,TO,TO,TO,4.725,28740760556884933575573102213120,21879
grafo10806.97,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10807.95,TO,TO,TO,TO,TO,TO,15.781,593601033156740569446885,46547
grafo10808.98,9.876,378121638730523407451224668000,77568,TO,TO,TO,11.766,378121638730523407451224668000,59271
grafo10811.96,5.597,62515660367842952114211840,73108,TO,TO,TO,4.609,62515660367842952114211840,74097
grafo10814.98,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10825.98,0.329,448703730980795389658142516768,4768,0.918,448703730980795389658142516768,8416,0.270,448703730980795389658142516768,4668
grafo10827.99,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10829.97,1.324,353483805373369159926528000,16317,7.609,353483805373369159926528000,39658,1.352,353483805373369159926528000,17216
grafo10831.98,2.314,132171520291202302513208524800,33382,6.155,132171520291202302513208524800,36387,2.787,132171520291202302513208524800,27047
grafo10836.97,1.567,53328914740725442127812132608,9039,10.662,53328914740725442127812132608,10660,1.476,53328914740725442127812132608,6978
grafo10849.95,1.293,146263666707748943943862272000,19390,4.501,146263666707748943943862272000,23136,0.636,146263666707748943943862272000,6234
grafo10854.99,1.191,193278561796094961314540049523200,16957,5.459,193278561796094961314540049523200,31685,1.171,193278561796094961314540049523200,13242
grafo10859.97,0.820,619544659954727747936779866,10359,3.658,619544659954727747936779866,25473,0.636,619544659954727747936779866,10455
grafo10860.93,0.936,82576179328076510630400,3583,4.415,82576179328076510630400,6348,0.683,82576179328076510630400,2837
grafo10861.100,0.827,7829288665158404488852831676796000,12100,5.738,7829288665158404488852831676796000,46669,0.757,7829288665158404488852831676796000,17811
