Instance,matrix_Time,matrix_Solutions,matrix_Decisions
bell-08,0.080,4140,-
bell-09,0.540,21147,-
bell-10,5.380,115975,-
bell-11,TO,TO,TO
bell-12,TO,TO,TO
delta,83.610,81,-
dominoes_10x10,1.360,258584046368,-
dominoes_10x12,2.140,65743732590821,-
dominoes_12x12,23.760,53060477521960000,-
dominoes_8x10,0.160,1031151241,-
dominoes_8x8,0.040,12988816,-
doublefact-09,0.010,945,-
doublefact-11,0.100,10395,-
doublefact-13,1.000,135135,-
doublefact-15,5.430,2027025,-
doublefact-17,31.780,34459425,-
doublefact-19,TO,TO,TO
doublefact-21,TO,TO,TO
doublefact-23,TO,TO,TO
doublefact-25,TO,TO,TO
doublefact-27,TO,TO,TO
doublefact-29,TO,TO,TO
exotic_fives,TO,TO,TO
grafo10006.98,3.350,272471817868228000342011539250,-
grafo10017.96,TO,TO,TO
grafo10072.97,5.040,13259058958914480360125792,-
grafo10084.97,1.180,2215710702367944079837593600,-
grafo10093.98,0.140,12011373629043051434493001680,-
grafo10099.94,9.560,39349088628024795597276038431211520,-
grafo10100.99,6.560,7977811134928620432600,-
grafo10105.93,38.540,1235530189623079694604780000,-
grafo10112.98,TO,TO,TO
grafo10113.94,2.670,13552406625123665520153488091360,-
grafo10116.100,45.990,971179169153002230808540080,-
grafo10124.100,7.260,148037675522027488235960571000,-
grafo10126.98,TO,TO,TO
grafo10129.99,51.140,198551644286553956304688320,-
grafo10130.97,TO,TO,TO
grafo10146.97,2.440,36084888290235633242565472,-
grafo10151.94,TO,TO,TO
grafo10153.100,TO,TO,TO
grafo10156.97,0.960,20350483027459989276721853299680,-
grafo10160.96,TO,TO,TO
grafo10161.99,17.360,7499629965587176856336728953760,-
grafo10162.93,TO,TO,TO
grafo10164.98,39.810,3832204204851047972904160,-
grafo10171.99,3.480,15378287316672584254732985280,-
grafo10173.97,TO,TO,TO
grafo10175.99,0.510,85388328645309376216506001872,-
grafo10176.97,8.240,110391288988965933859653042432,-
grafo10179.97,TO,TO,TO
grafo10184.100,2.630,774260303763303208390801489920,-
grafo10195.99,0.340,190292079107394297194953680,-
grafo10203.97,0.330,60240136444714215336356779770000,-
grafo10204.100,41.820,29653634898146327380379042234220,-
grafo10205.97,0.330,1047098415602374598602584000,-
grafo10207.98,4.920,407524009110382244942767825920,-
grafo10209.99,0.810,1778405443010598595931612784,-
grafo10215.93,0.250,4429033439896804903015219200,-
grafo10218.99,TO,TO,TO
grafo10220.97,44.670,1790803918795800975261000000,-
grafo10223.100,8.260,328837542685158315870007155,-
grafo10237.100,TO,TO,TO
grafo10244.99,TO,TO,TO
grafo10250.100,0.950,114852967527687017594839695360,-
grafo10259.100,TO,TO,TO
grafo10262.100,0.630,6525746259024633846681600,-
grafo10265.100,0.110,32094343893604867070884746240,-
grafo10266.94,0.750,110801121815568366975240,-
grafo10269.99,17.930,380480960212526987313930000,-
grafo10273.97,2.420,33635956333383979125105139200,-
grafo10275.97,5.620,244643834228122975019518779960,-
grafo10288.95,0.250,67924110954574990800416160000,-
grafo10291.93,0.910,8089182960223746111277546359360,-
grafo10292.100,TO,TO,TO
grafo10293.99,0.560,1189967169400391312521176624192,-
grafo10297.98,0.680,5047361956059511058420258045952,-
grafo10298.97,0.380,6411956755318891248938904345600,-
grafo10303.96,0.370,336623282871798635541043488000,-
grafo10305.100,4.470,292616449355000172969265830912,-
grafo10318.98,10.910,160075764596308430431394162528,-
grafo10325.96,16.050,1515402842894491432903083787725,-
grafo10327.97,0.700,6668191872233180852367168,-
grafo10339.95,29.050,154016948980994323270086040,-
grafo10346.97,1.690,85352803321813705564434487680,-
grafo10351.97,TO,TO,TO
grafo10353.99,2.820,577765059452569037115956736,-
grafo10354.99,0.800,2635922965070113457943960,-
grafo10359.95,48.370,21232201433844641535018326254080,-
grafo10362.94,10.520,13439932228370461283870400,-
grafo10365.97,TO,TO,TO
grafo10369.100,0.540,162269574458684398363738080,-
grafo10382.94,TO,TO,TO
grafo10383.99,20.340,48590627320293679248909600,-
grafo10387.97,0.280,928110106585327508832600,-
grafo10388.95,2.700,100871271571286563976946948624,-
grafo10393.96,TO,TO,TO
grafo10405.97,TO,TO,TO
grafo10409.96,0.480,139058476479714794419701648,-
grafo10416.96,0.440,271249176254157952533452952,-
grafo10418.100,0.660,147754061920021215867995714457600,-
grafo10420.97,0.350,40799332872710765774848481424384,-
grafo10421.99,2.210,52350402903229612656419750400,-
grafo10426.100,44.080,1827792182028002330287070982157036,-
grafo10432.99,1.120,39585030704867624378340600668160,-
grafo10434.98,TO,TO,TO
grafo10436.95,9.020,4397495877745499771502988640640,-
grafo10441.98,TO,TO,TO
grafo10444.100,1.740,16141694039854526732472576000000,-
grafo10445.94,9.680,139093054073990193881088000,-
grafo10446.95,0.270,1406626619252431805138851200,-
grafo10452.94,0.340,1302522886890895552129225440,-
grafo10453.97,0.550,978085055060719586502813757440,-
grafo10467.100,2.980,829005255557150402856812544000,-
grafo10469.100,31.450,29833371992729329249984,-
grafo10474.94,42.040,379074777475066237548576,-
grafo10484.99,679.570,2487532883220470908720128000,-
grafo10488.98,8.600,147530693993345834083200,-
grafo10489.95,TO,TO,TO
grafo10491.97,TO,TO,TO
grafo10492.96,TO,TO,TO
grafo10496.98,TO,TO,TO
grafo10501.96,7.700,60200824737438188138649600000,-
grafo10502.91,576.910,14343683004869345017856,-
grafo10508.100,TO,TO,TO
grafo10516.94,32.980,15349626258814572399639360,-
grafo10522.99,33.020,1362396344215079666562581191680,-
grafo10523.97,7.230,2582091752234108448983040,-
grafo10532.99,4.590,462566039822118771475073572512,-
grafo10533.100,8.770,75765334881122745334866192794594400,-
grafo10534.100,0.750,6190404474802541320344211290206208,-
grafo10536.99,0.580,89947113720736152688205852520,-
grafo10537.95,TO,TO,TO
grafo10538.100,6.470,789373682830989325271163816,-
grafo10547.94,10.180,6784952125033040430938400,-
grafo10549.99,8.580,1145040940241452014901674319885248,-
grafo10552.96,TO,TO,TO
grafo10560.95,0.610,10454917675207673432929607718912,-
grafo10575.99,6.760,290401904358524035719206484192,-
grafo10577.100,TO,TO,TO
grafo10578.96,5.140,59448044221069477278245400,-
grafo10586.100,2.530,3148492073586458925239257920,-
grafo10589.93,28.830,48907524397035141831510108060,-
grafo10592.98,3.530,2607343682329504256862467094951600,-
grafo10596.99,0.760,112573774918535869185914200320,-
grafo10603.100,1.710,670515323535794966768000,-
grafo10608.93,1.530,2731816373006312109429752800,-
grafo10624.91,0.340,28252598579182428029482758660,-
grafo10626.100,0.230,123805968402809495607386400,-
grafo10630.94,38.340,42203028634531492749435200,-
grafo10632.100,11.580,574873638719068404760642606008000,-
grafo10633.100,TO,TO,TO
grafo10634.96,14.540,1654661607863151503791546470072,-
grafo10635.95,2.900,71356613932690877273184000,-
grafo10637.94,2.010,11214433932496991100576672,-
grafo10638.100,0.750,186453077689245827319552,-
grafo10644.100,6.300,465721805127078320112415926,-
grafo10646.100,3.910,9820844339917672108320000,-
grafo10648.98,6.240,356474569742739338284800,-
grafo10650.98,15.180,34469989471030631805056520,-
grafo10652.100,TO,TO,TO
grafo10653.100,TO,TO,TO
grafo10662.100,2.970,27178777349470484479346220000,-
grafo10663.99,0.840,10004537904397046812627562880,-
grafo10670.100,TO,TO,TO
grafo10671.100,TO,TO,TO
grafo10674.99,5.210,5795071987312867464401288085504,-
grafo10676.100,0.710,88449251051691116273910908805120,-
grafo10685.98,0.810,18933970214606610605994945868800,-
grafo10688.95,TO,TO,TO
grafo10689.98,40.690,1370682840424281115042080000,-
grafo10693.98,0.250,15811121663230543469294733740160,-
grafo10694.96,TO,TO,TO
grafo10695.98,3.420,152426309856396886819860480,-
grafo10696.99,6.350,5204295119772122743131779016000,-
grafo10698.95,0.160,195624642073083526902416762880,-
grafo10700.98,0.390,2303423420658486348064432128000,-
grafo10712.98,4.160,87350475221980225179971773660000,-
grafo10713.92,31.020,762510033365435299350000,-
grafo10714.99,TO,TO,TO
grafo10722.96,1.750,7181570767061926043280,-
grafo10726.99,2.560,1169388613595008901313330971328,-
grafo10735.99,TO,TO,TO
grafo10736.99,2.150,654533353008865416702686400,-
grafo10737.99,TO,TO,TO
grafo10750.100,1.920,79424048531055784214151971742570,-
grafo10758.96,1.520,14393936331269128652052040205472000,-
grafo10760.96,24.270,44506808727552680251881600,-
grafo10772.100,TO,TO,TO
grafo10780.99,TO,TO,TO
grafo10781.100,TO,TO,TO
grafo10792.98,3.450,28740760556884933575573102213120,-
grafo10806.97,TO,TO,TO
grafo10807.95,25.780,593601033156740569446885,-
grafo10808.98,9.690,378121638730523407451224668000,-
grafo10810.97,TO,TO,TO
grafo10811.96,10.250,62515660367842952114211840,-
grafo10814.98,TO,TO,TO
grafo10820.100,TO,TO,TO
grafo10825.98,0.270,448703730980795389658142516768,-
grafo10827.99,32.130,55037159210177477446446115200,-
grafo10829.97,1.280,353483805373369159926528000,-
grafo10831.98,1.660,132171520291202302513208524800,-
grafo10832.94,TO,TO,TO
grafo10836.97,0.830,53328914740725442127812132608,-
grafo10849.95,0.660,146263666707748943943862272000,-
grafo10854.99,0.780,193278561796094961314540049523200,-
grafo10859.97,0.550,619544659954727747936779866,-
grafo10860.93,2.270,82576179328076510630400,-
grafo10861.100,0.830,7829288665158404488852831676796000,-
grafo10862.98,TO,TO,TO
grafo10864.99,28.770,16665764537733819344371841148,-
grafo10865.100,TO,TO,TO
grafo10866.98,TO,TO,TO
grafo10876.98,TO,TO,TO
grafo10878.94,3.000,40448324839475188109531614233600,-
grafo10882.95,6.440,447542272092260259015739440,-
grafo10883.93,2.630,2430118976009979196378800000,-
grafo10898.95,0.970,758521327325540596697880000,-
grafo10905.97,0.280,12135924843732264824121600000,-
grafo10907.99,TO,TO,TO
grafo10908.98,4.810,6900725645688243858242801600,-
grafo10911.100,TO,TO,TO
grafo10918.98,14.670,32800654433715516623943360,-
grafo10919.97,0.590,4873808896014194882486512200,-
grafo10926.99,0.490,401726519668839391778054937600,-
grafo10928.100,TO,TO,TO
grafo10937.100,0.680,911068768064780693215657056000,-
